valid_from,valid_to,release_tag,municipalities,change
2020-07-01,2021-01-01,2020-07-01,7903,1 soppressi
2021-01-01,2021-02-20,2021-01-01,7903,"9 admin_variazione_territoriale, 1 admin_fusione"
2021-02-20,2021-06-17,2021-02-20,7904,1 admin_scissione
2021-06-17,2022-01-01,2021-06-17,7904,2 admin_riassegnazione
2022-01-01,2022-03-03,2022-01-01,7904,2 admin_variazione_territoriale
2022-03-03,2022-08-12,2022-03-03,7904,1 admin_cambio_denominazione
2022-08-12,2023-01-01,2022-08-12,7904,1 admin_cambio_denominazione
2023-01-01,2023-01-17,2023-01-01,7901,"2 admin_fusione, 2 admin_variazione_territoriale, 5 soppressi"
2023-01-17,2023-04-14,2023-01-17,7901,1 admin_cambio_denominazione
2023-04-14,2023-07-13,2023-04-14,7901,1 admin_cambio_denominazione
2023-07-13,2023-10-19,2023-07-13,7901,1 admin_cambio_denominazione
2023-10-19,2023-11-18,2023-10-19,7901,1 admin_cambio_denominazione
2023-11-18,2024-01-01,2023-11-18,7900,"1 admin_cambio_denominazione, 1 soppressi"
2024-01-01,2024-01-22,2024-01-01,7899,"1 admin_fusione, 2 soppressi"
2024-01-22,2025-01-01,2024-01-22,7896,"3 admin_fusione, 6 soppressi"
2025-01-01,2025-06-13,2025-01-01,7896,10 admin_variazione_territoriale
2025-06-13,2025-10-10,2025-06-13,7896,1 admin_cambio_denominazione
2025-10-10,2026-01-01,2025-10-10,7896,1 admin_cambio_denominazione
2026-01-01,2026-01-31,2026-01-01,7896,"222 admin_cambio_codice, 155 admin_riassegnazione"
2026-01-31,2026-02-21,2026-01-31,7895,1 soppressi
2026-02-21,2026-05-14,2026-02-21,7894,"1 admin_fusione, 2 soppressi"
2026-05-14,,2026-05-14,7894,1 admin_cambio_denominazione
